"","Rk","G","Date","Age","Tm","X","Opp","X.1","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","X...","Result","Dummy"
"345",17,17,"2016-11-27","27-093","HOU","@","POR","W (+16)","1","34:29","11","22",".500","5","12",".417","11","13",".846","1","1","2","10","2","1","5","3","38","30.7","+8","W",1
"346",18,18,"2016-11-29","27-095","HOU","@","UTA","L (-19)","1","35:08","8","23",".348","2","6",".333","8","10",".800","3","2","5","7","2","0","2","3","26","18.7","-19","L",0
"347",19,19,"2016-12-01","27-097","HOU","@","GSW","W (+5)","1","45:48","8","23",".348","2","11",".182","11","14",".786","1","14","15","13","2","1","7","4","29","23.0","-6","W",1
"348",20,20,"2016-12-02","27-098","HOU","@","DEN","W (+18)","1","33:15","6","16",".375","1","5",".200","7","8",".875","1","6","7","9","1","1","5","3","20","15.1","+12","W",1
"349",21,21,"2016-12-05","27-101","HOU","","BOS","W (+1)","1","35:19","8","14",".571","3","5",".600","18","18","1.000","1","7","8","7","3","0","10","2","37","30.3","+3","W",1
"350",22,22,"2016-12-07","27-103","HOU","","LAL","W (+39)","1","29:47","8","14",".571","4","7",".571","5","6",".833","0","6","6","7","4","0","4","0","25","24.7","+19","W",1
"351",23,23,"2016-12-09","27-105","HOU","@","OKC","W (+3)","1","36:45","6","23",".261","2","11",".182","7","8",".875","1","8","9","12","2","0","8","5","21","10.4","+2","W",1
"352",24,24,"2016-12-10","27-106","HOU","","DAL","W (+22)","1","39:55","4","12",".333","2","8",".250","8","10",".800","0","9","9","17","2","0","4","1","18","22.6","+21","W",1
"353",25,25,"2016-12-12","27-108","HOU","","BRK","W (+4)","1","38:30","12","27",".444","4","11",".364","8","12",".667","3","5","8","11","2","0","4","3","36","28.4","-2","W",1
"354",26,26,"2016-12-14","27-110","HOU","","SAC","W (+34)","1","29:52","4","7",".571","3","6",".500","4","4","1.000","0","11","11","14","1","0","5","0","15","20.8","+29","W",1
"355",27,27,"2016-12-16","27-112","HOU","","NOP","W (+22)","1","33:50","7","15",".467","6","12",".500","9","11",".818","2","9","11","13","0","0","4","2","29","28.9","+14","W",1
"356",28,28,"2016-12-17","27-113","HOU","@","MIN","W (+2)","1","42:54","8","20",".400","3","11",".273","9","11",".818","0","9","9","13","1","2","7","5","28","21.6","+4","W",1
"357",29,29,"2016-12-20","27-116","HOU","","SAS","L (-2)","1","36:48","10","26",".385","1","11",".091","10","10","1.000","2","8","10","7","1","0","3","1","31","23.1","+1","L",0
"358",30,30,"2016-12-21","27-117","HOU","@","PHO","W (+14)","1","34:46","8","18",".444","5","11",".455","6","8",".750","1","4","5","14","1","0","2","1","27","27.1","+4","W",1
"359",31,31,"2016-12-23","27-119","HOU","@","MEM","L (-6)","1","36:11","6","13",".462","2","6",".333","2","3",".667","1","6","7","17","1","0","9","5","16","13.3","+10","L",0
"360",32,32,"2016-12-26","27-122","HOU","","PHO","W (+16)","1","30:06","9","18",".500","2","9",".222","12","15",".800","1","4","5","12","0","0","7","4","32","23.5","+24","W",1
"361",33,33,"2016-12-27","27-123","HOU","@","DAL","W (+16)","1","29:57","9","16",".563","4","7",".571","12","12","1.000","2","3","5","11","0","1","7","2","34","29.3","+13","W",1
"362",34,34,"2016-12-30","27-126","HOU","","LAC","W (+24)","1","33:39","10","15",".667","2","5",".400","8","9",".889","1","12","13","10","5","2","6","1","30","34.4","-2","W",1
"363",35,35,"2016-12-31","27-127","HOU","","NYK","W (+7)","1","42:05","14","26",".538","9","16",".563","16","18",".889","3","13","16","17","0","0","8","2","53","48.7","+13","W",1
